2017-02-22 20:14:39.847 [线程3] INFO  [com.etime.arch.redis.lock.Task] - e2ae7ff7-33ce-487e-bd00-b08666ec8d83
2017-02-22 20:14:42.865 [线程2] INFO  [com.etime.arch.redis.lock.Task] - 线程2获得锁
2017-02-22 20:14:42.866 [线程2] INFO  [com.etime.arch.redis.lock.Task] - 线程2执行业务操作
2017-02-22 20:14:42.866 [线程2] INFO  [com.etime.arch.redis.lock.Task] - f3fe6442-6e99-4839-bc58-14e5b5962d2f
2017-02-22 20:15:27.808 [线程4] INFO  [com.etime.arch.redis.lock.Task] - 线程4获得锁
2017-02-22 20:15:27.811 [线程4] INFO  [com.etime.arch.redis.lock.Task] - 线程4执行业务操作
2017-02-22 20:15:27.811 [线程4] INFO  [com.etime.arch.redis.lock.Task] - d5967f1c-46d6-430c-8914-6c87f2ad1965
2017-02-22 20:15:29.814 [线程10] INFO  [com.etime.arch.redis.lock.Task] - 线程10获得锁
2017-02-22 20:15:29.815 [线程10] INFO  [com.etime.arch.redis.lock.Task] - 线程10执行业务操作
2017-02-22 20:15:29.815 [线程10] INFO  [com.etime.arch.redis.lock.Task] - dbf2138e-2400-4e6d-8d38-b79c2fa30a9e
2017-02-22 20:15:58.105 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁开始...
2017-02-22 20:15:58.111 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁结束...
